message_id,action,message_type,reason,confidence,evidence_message_ids
msg_050,digest,event,This business message appears legitimate but can be reviewed later.,0.62,message_0279;message_0278;message_0155
msg_083,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0219
msg_063,mute,unknown,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0181;message_0182
msg_033,digest,greeting,This group greeting is harmless but does not require an interruption.,0.68,message_0121;message_0393;message_0372
msg_061,mute,greeting,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0080;message_0177;message_0193
msg_020,mute,forward,This group message is routine social noise without a user-specific need.,0.78,message_0049;message_0095;message_0390
msg_017,mute,unknown,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0090;message_0089;message_0319
msg_058,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0241;message_0039;message_0040
msg_026,mute,business_update,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0032;message_0107;message_0108
msg_047,notify,event,A group operational update is relevant to the user's near-term plans.,0.84,message_0001;message_0029;message_0044
msg_046,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0148;message_0147;message_0024
msg_042,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0058;message_0140;message_0057
msg_079,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0369;message_0023;message_0045
msg_098,notify,urgent,A personal sender indicates a time-sensitive request or deadline.,0.83,message_0359;message_0054;message_0225
msg_037,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0410;message_0216;message_0130
msg_007,digest,event,A group operational update is relevant to the user's near-term plans.,0.72,message_0069;message_0070
msg_085,digest,business_update,This business message appears legitimate but can be reviewed later.,0.62,message_0221
msg_001,notify,urgent,A group operational update is relevant to the user's near-term plans.,0.84,message_0057;message_0139;message_0240
msg_021,digest,payment,This group message may be useful later but is not interrupt-worthy.,0.66,message_0029;message_0044;message_0098
msg_028,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0034;message_0112;message_0111
msg_012,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0079;message_0194;message_0178
msg_064,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0201;message_0087;message_0183
msg_103,digest,personal,"This personal message is safe and useful, but can wait for a digest.",0.69,message_0382;message_0065;message_0231
msg_031,notify,event,A group operational update is relevant to the user's near-term plans.,0.84,message_0227;message_0249;message_0055
msg_057,notify,urgent,A direct mention creates an immediate dependency for the user.,0.88,message_0041;message_0266;message_0003
msg_087,mute,unknown,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0391;message_0223;message_0164
msg_067,digest,payment,This group message may be useful later but is not interrupt-worthy.,0.66,message_0098;message_0068;message_0271
msg_039,notify,personal,A direct mention creates an immediate dependency for the user.,0.88,message_0364;message_0037;message_0051
msg_082,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0397;message_0218;message_0380
msg_066,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0257;message_0402;message_0188
msg_049,digest,promotion,A known business sent an optional promotion that can wait for a digest.,0.73,message_0154;message_0291;message_0153
msg_015,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0023;message_0045;message_0213
msg_051,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0257;message_0402;message_0157
msg_097,digest,personal,"This personal message is safe and useful, but can wait for a digest.",0.69,message_0054;message_0225;message_0359
msg_089,notify,urgent,A personal sender indicates a time-sensitive request or deadline.,0.83,none
msg_053,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0411;message_0161;message_0253
msg_059,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0023;message_0045;message_0213
msg_024,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0257;message_0402;message_0157
msg_072,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0023;message_0045;message_0213
msg_036,mute,forward,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0283;message_0127;message_0128
msg_076,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0207;message_0208;message_0159
msg_055,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0165;message_0166;message_0387
msg_102,notify,urgent,A personal sender indicates a time-sensitive request or deadline.,0.83,message_0371;message_0230;message_0041
msg_080,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0216;message_0130;message_0150
msg_093,digest,payment,This business message appears legitimate but can be reviewed later.,0.62,message_0398;message_0349;message_0347
msg_034,mute,greeting,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0013;message_0014;message_0123
msg_035,digest,business_update,A trusted business update is useful but does not require an interruption.,0.76,message_0281;message_0125;message_0126
msg_101,digest,personal,"This personal message is safe and useful, but can wait for a digest.",0.69,message_0370;message_0229;message_0268
msg_041,digest,event,This business message appears legitimate but can be reviewed later.,0.62,message_0138;message_0137
msg_011,mute,greeting,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0014;message_0013;message_0123
msg_110,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0238;message_0381
msg_095,mute,scam,The message requests credentials or uses a coercive account-security claim.,0.97,message_0201;message_0087;message_0183
msg_074,mute,promotion,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0203;message_0223;message_0164
msg_073,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0201;message_0087;message_0183
msg_054,mute,unknown,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0391;message_0389;message_0163
msg_068,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0191;message_0192
msg_100,notify,urgent,A personal sender indicates a time-sensitive request or deadline.,0.83,message_0362;message_0228;message_0117
msg_062,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0043;message_0271;message_0029
msg_096,digest,personal,"This personal message is safe and useful, but can wait for a digest.",0.69,none
msg_043,mute,forward,"This is a heavily forwarded, low-accountability message that can be suppressed.",0.87,message_0271;message_0410;message_0129
msg_077,digest,payment,This group message may be useful later but is not interrupt-worthy.,0.66,message_0051;message_0364;message_0037
msg_081,digest,unknown,This group message may be useful later but is not interrupt-worthy.,0.66,message_0217
msg_025,notify,business_update,A trusted business sent a time-sensitive update tied to the user's relationship.,0.84,message_0239;message_0004;message_0105
msg_084,mute,business_update,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0220
msg_022,mute,payment,"Similar messages were repeatedly dismissed, muted, or reported by this user.",0.84,message_0151;message_0099;message_0149
